Brand,Funnel_Stage,Unique_Users,conversion_rate%,drop_off_rate%
samsung,01_View,38028,100.0,0.0
samsung,02_Intent,4403,11.58,88.42
samsung,03_Purchase,3366,76.45,23.549999999999997
apple,01_View,32023,100.0,0.0
apple,02_Intent,3626,11.32,88.68
apple,03_Purchase,2667,73.55,26.450000000000003
xiaomi,01_View,19638,100.0,0.0
xiaomi,02_Intent,1676,8.53,91.47
xiaomi,03_Purchase,1109,66.17,33.83
huawei,01_View,7993,100.0,0.0
huawei,02_Intent,590,7.38,92.62
huawei,03_Purchase,415,70.34,29.659999999999997
lucente,01_View,5410,100.0,0.0
lucente,02_Intent,226,4.18,95.82
lucente,03_Purchase,226,100.0,0.0
oppo,01_View,4587,100.0,0.0
oppo,02_Intent,348,7.59,92.41
oppo,03_Purchase,263,75.57,24.430000000000007
lg,01_View,4922,100.0,0.0
lg,02_Intent,226,4.59,95.41
lg,03_Purchase,174,76.99,23.010000000000005
bosch,01_View,4307,100.0,0.0
bosch,02_Intent,125,2.9,97.1
bosch,03_Purchase,103,82.4,17.599999999999994
cordiant,01_View,5075,100.0,0.0
cordiant,02_Intent,439,8.65,91.35
cordiant,03_Purchase,328,74.72,25.28
sony,01_View,4323,100.0,0.0
sony,02_Intent,188,4.35,95.65
sony,03_Purchase,137,72.87,27.129999999999995
